Facility name,State of operation,Responsible emitter,Responsible emitter ABN/ACN,Baseline number,Type of baseline,Reported covered Emissions,ACCUs issued,ACCUs deemed surrender,ACCUs surrendered,Net emissions number,MYMP net emissions number, MYMP baseline number ,Excess emissions situation start date (if applicable),Excess emissions situation end date (if applicable),Notes
Daunia Mine,QLD,BM ALLIANCE COAL OPERATIONS PTY LIMITED,67 096 412 752,"310,899",Production-adjusted baseline,"244,552",0,0,0,"244,552",n/a,n/a, - , - , - 
Talinga,QLD,ORIGIN ENERGY UPSTREAM OPERATOR PTY LTD,67 105 423 532,"261,084",Production-adjusted baseline,"219,146",0,0,0,"219,146",n/a,n/a, - , - , - 
Roma Hub,QLD,SANTOS LIMITED,80 007 550 923,"225,019",Production-adjusted baseline,"103,696",0,0,0,"103,696",n/a,n/a, - , - , - 
ATCO Gas Australia Pty Ltd,WA,ATCO GAS AUSTRALIA GP PTY LTD,76 151 245 779,"187,220",Production-adjusted baseline,"114,623",0,0,0,"114,623",n/a,n/a, - , - , - 
Dongara Operations,WA,ADBRI LIMITED,15 007 596 018,n/a,Multi-year monitoring period,"100,087",0,0,"10,383",n/a,"303,952","303,952", - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
CTC WA Facility,WA,CENTURION TRANSPORT CO. PTY LTD,42 008 746 334,n/a,Multi-year monitoring period,"104,196",0,0,"3,468",n/a,"306,804","306,804", - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
NGP,NT/QLD,JEMENA NORTHERN GAS PIPELINE PTY LTD,12 607 928 790,n/a,Multi-year monitoring period,"99,288",0,0,0,n/a,"384,918","436,361", - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
TT-Line - Victorian Operation,VIC,TT-LINE COMPANY PTY. LTD.,39 061 996 174,n/a,Multi-year monitoring period,"129,262",0,0,0,n/a,"440,113","466,754", - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Liberty OneSteel Laverton Steel Mill,VIC,THE AUSTRALIAN STEEL COMPANY (OPERATIONS) PTY LTD,89 069 426 955,n/a,Multi-year monitoring period,"113,227",0,0,0,n/a,"446,626","479,639", - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
ODS01 Olympic Dam - UOD Facility,SA,BHP OLYMPIC DAM CORPORATION PTY LTD,99 007 835 761,n/a,Multi-year monitoring period,"234,786",0,0,0,n/a,"667,558","721,489", - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
South Walker Creek,QLD,BHP MITSUI COAL PTY LTD,34 009 713 875,n/a,Multi-year monitoring period,"304,815",0,0,0,n/a,"819,759","941,068", - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Jimblebar Mine,WA,BHP IRON ORE PTY LTD,46 008 700 981,n/a,Multi-year monitoring period,"305,260",0,0,0,n/a,"909,521","1,021,985", - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Bengalla Operations,NSW,BENGALLA MINING COMPANY PTY LIMITED,32 053 909 470,n/a,Multi-year monitoring period,"449,399",0,0,0,n/a,"988,256","1,029,724", - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Solomon Mine,WA,FMG SOLOMON PTY LTD,95 128 959 179,n/a,Multi-year monitoring period,"436,846",0,0,"8,411",n/a,"1,268,643","1,278,347", - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Roy Hill Mine,WA,ROY HILL HOLDINGS PTY LTD,71 123 721 077,n/a,Multi-year monitoring period,"430,818",0,0,0,n/a,"1,271,493","1,325,271", - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
ARC01 Mining Area C - MNG Facility,WA,BHP IRON ORE PTY LTD,46 008 700 981,n/a,Multi-year monitoring period,"406,944",0,0,0,n/a,"1,197,355","1,332,214", - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Caval Ridge Mine,QLD,BM ALLIANCE COAL OPERATIONS PTY LIMITED,67 096 412 752,n/a,Multi-year monitoring period,"590,564",0,0,0,n/a,"1,657,652","1,731,537", - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Mount Pleasant Operations,NSW,MACH ENERGY AUSTRALIA PTY LTD,34 608 495 441,n/a,Multi-year monitoring period,"675,893",0,0,0,n/a,"1,310,497","2,062,091", - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Portland Aluminium Smelter,VIC,ALCOA PORTLAND ALUMINIUM PTY LTD,80 006 306 752,n/a,Multi-year monitoring period,"594,849",0,0,"47,541",n/a,"2,316,290","2,316,290", - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Tomago Aluminium Smelter,NSW,TOMAGO ALUMINIUM COMPANY PTY LTD,68 001 862 228,n/a,Multi-year monitoring period,"1,181,106",0,0,0,n/a,"3,570,795","3,824,778", - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Moranbah North Mine,QLD,ANGLO COAL (MORANBAH NORTH MANAGEMENT) PTY LIMITED,14 069 603 587,n/a,Multi-year monitoring period,"2,529,216",0,0,0,n/a,"9,129,609","11,238,062", - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Capcoal Mine,QLD,ANGLO COAL (CAPCOAL MANAGEMENT) PTY LIMITED,73 010 037 564,n/a,Multi-year monitoring period,"3,245,172",0,0,0,n/a,"11,339,278","11,797,035", - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Baralaba Coal Mine,QLD,BARALABA COAL COMPANY PTY LTD,42 096 909 634,n/a,Multi-year monitoring period,"102,549",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Curragh Mine,QLD,CORONADO AUSTRALIA HOLDINGS PTY LTD,23 623 524 989,n/a,Multi-year monitoring period,"852,964",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Darwin LNG Plant,NT,SANTOS LIMITED,80 007 550 923,n/a,Multi-year monitoring period,"1,590,829",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Dawson Mine,QLD,ANGLO COAL (DAWSON MANAGEMENT) PTY LTD,15 006 746 701,n/a,Multi-year monitoring period,"435,649",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Ensham Resources Minesite,QLD,ENSHAM RESOURCES PTY. LIMITED,23 011 048 678,n/a,Multi-year monitoring period,"551,171",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Goldfields Gas Transmission Pipeline,WA,GOLDFIELDS GAS TRANSMISSION PTY LTD,87 004 273 241,n/a,Multi-year monitoring period,"121,535",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
HVY01 Hunter Valley Energy Coal - CCL Facility,NSW,HUNTER VALLEY ENERGY COAL PTY LTD,39 062 894 464,n/a,Multi-year monitoring period,"546,521",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Mesa A Mine,WA,ROBE RIVER MINING CO. PTY. LTD.,71 008 694 246,n/a,Multi-year monitoring period,"114,654",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Newman Operations,WA,BHP IRON ORE PTY LTD,46 008 700 981,n/a,Multi-year monitoring period,"349,146",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
North West Shelf Project,WA,WOODSIDE ENERGY LTD.,63 005 482 986,n/a,Multi-year monitoring period,"6,784,581",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Pluto LNG,WA,WOODSIDE BURRUP PTY. LTD.,20 120 237 416,n/a,Multi-year monitoring period,"1,945,741",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Poitrel Mine,QLD,BHP MITSUI COAL PTY LTD,34 009 713 875,n/a,Multi-year monitoring period,"201,368",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Port Latta Pelletising Plant,TAS,GRANGE RESOURCES (TASMANIA) PTY LTD,30 073 634 581,n/a,Multi-year monitoring period,"118,637",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Queensland,QLD,ALLIANCE AVIATION SERVICES LIMITED,96 153 361 525,n/a,Multi-year monitoring period,"101,464",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Saraji Mine,QLD,BM ALLIANCE COAL OPERATIONS PTY LIMITED,67 096 412 752,n/a,Multi-year monitoring period,"438,393",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Savage River Mine,TAS,GRANGE RESOURCES (TASMANIA) PTY LTD,30 073 634 581,n/a,Multi-year monitoring period,"96,414",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Start up and Operations of the Ichthys LNG Project,NT,INPEX OPERATIONS AUSTRALIA PTY LTD,48 150 217 262,n/a,Multi-year monitoring period,"6,351,245",0,0,0,n/a,"13,974,927","14,039,314", - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Victoria,VIC,CSL AUSTRALIA PTY LTD,24 080 378 614,n/a,Multi-year monitoring period,"47,125",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Vincent Project Venture,WA,WOODSIDE ENERGY LTD.,63 005 482 986,n/a,Multi-year monitoring period,"353,008",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Wambo Coal Mine,NSW,WAMBO COAL PTY LIMITED,13 000 668 057,n/a,Multi-year monitoring period,"395,641",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Western Australia,WA,ALLIANCE AVIATION SERVICES LIMITED,96 153 361 525,n/a,Multi-year monitoring period,"103,394",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Port Kembla Steelworks,NSW,BLUESCOPE STEEL (AIS) PTY. LTD.,19 000 019 625,"11,040,213",Reported baseline,"6,260,763",0,0,0,"6,260,763",n/a,n/a, - , - , - 
Gorgon Operations,WA,CHEVRON AUSTRALIA PTY LTD,29 086 197 757,"8,365,831",Calculated baseline,"5,460,144",0,0,0,"5,460,144",n/a,n/a, - , - , - 
Qantas Airways Limited National Transport Facility,National,QANTAS AIRWAYS LIMITED,16 009 661 901,"4,693,619",Reported baseline,"2,466,674",0,0,0,"2,466,674",n/a,n/a, - , - , - 
Wheatstone Operations,WA,CHEVRON AUSTRALIA PTY LTD,29 086 197 757,"4,343,119",Calculated baseline,"4,025,254",0,0,0,"4,025,254",n/a,n/a, - , - , - 
APN01 Appin Colliery - ICH Facility,NSW,ENDEAVOUR COAL PTY LIMITED,38 099 830 476,"3,960,227",Reported baseline,"1,940,513",0,0,0,"1,940,513",n/a,n/a, - , - , - 
WOR01 Worsley Alumina Refinery/Mine,WA,SOUTH32 WORSLEY ALUMINA PTY LTD,58 008 905 155,"3,718,777",Calculated baseline,"3,657,800",0,0,0,"3,657,800",n/a,n/a, - , - , - 
Queensland Alumina Limited Refinery,QLD,QUEENSLAND ALUMINA LIMITED,98 009 725 044,"3,434,256",Calculated baseline,"3,300,358",0,0,0,"3,300,358",n/a,n/a, - , - , - 
Pinjarra Alumina Refinery,WA,ALCOA OF AUSTRALIA LIMITED,93 004 879 298,"3,056,433",Production-adjusted baseline,"1,576,697",0,0,0,"1,576,697",n/a,n/a, - , - , - 
Gippsland Basin facility,VIC,ESSO AUSTRALIA RESOURCES PTY LTD,62 091 829 819,"2,740,315",Production-adjusted baseline,"1,565,319",0,0,0,"1,565,319",n/a,n/a, - , - , - 
Liberty Primary Steel Whyalla Steelworks,SA,ONESTEEL MANUFACTURING PTY LIMITED,42 004 651 325,"2,690,509",Calculated baseline,"2,346,007",0,0,0,"2,346,007",n/a,n/a, - , - , - 
APLNG Facility,QLD,CONOCOPHILLIPS AUSTRALIA OPERATIONS PTY LTD,28 141 253 787,"2,604,999",Calculated baseline,"2,070,938",0,0,0,"2,070,938",n/a,n/a, - , - , - 
Moomba Plant,SA,SANTOS LIMITED,80 007 550 923,"2,501,037",Production-adjusted baseline,"2,371,988",0,0,0,"2,371,988",n/a,n/a, - , - , - 
Virgin Australia Holdings National Transport Facility,National,VIRGIN AUSTRALIA HOLDINGS LIMITED,54 100 686 226,"2,397,885",Calculated baseline,"845,653",0,0,0,"845,653",n/a,n/a, - , - , - 
Rio Tinto Yarwun,QLD,RTA YARWUN PTY LTD,73 137 266 301,"2,295,467",Production-adjusted baseline,"2,130,417","56,202",0,0,"2,186,619",n/a,n/a, - , - ,The facility's net emissions number for 2020-21 was adjusted to include ACCUs issued in relation to an Emissions Reduction Fund project at the facility.
FLNG,WA,SHELL AUSTRALIA PTY LTD,14 009 663 576,"2,263,910",Calculated baseline,"1,506,548",0,0,0,"1,506,548",n/a,n/a, - , - , - 
Queensland Curtis LNG Plant,QLD,QCLNG OPERATING COMPANY PTY LTD,19 138 872 385,"2,244,528",Calculated baseline,"1,786,718",0,0,0,"1,786,718",n/a,n/a, - , - , - 
TAHMOOR COAL MINE,NSW,TAHMOOR COAL PTY LTD,97 076 663 968,"2,008,287",Calculated baseline,"1,124,934",0,0,0,"1,124,934",n/a,n/a, - , - , - 
Wagerup Alumina Refinery,WA,ALCOA OF AUSTRALIA LIMITED,93 004 879 298,"1,894,645",Production-adjusted baseline,"1,415,989",0,0,0,"1,415,989",n/a,n/a, - , - , - 
Curtis Island GLNG Plant,QLD,SANTOS LIMITED,80 007 550 923,"1,888,177",Calculated baseline,"1,730,328",0,0,0,"1,730,328",n/a,n/a, - , - , - 
Cockburn Operations,WA,ADBRI LIMITED,15 007 596 018,"1,839,526",Reported baseline,"1,044,918",0,0,0,"1,044,918",n/a,n/a, - , - , - 
Fisherman's Landing,QLD,CEMENT AUSTRALIA (QUEENSLAND) PTY LIMITED,70 009 658 520,"1,795,018",Calculated baseline,"1,618,328",0,0,0,"1,618,328",n/a,n/a, - , - , - 
Sino Iron Project - Cape Preston,WA,CITIC PACIFIC MINING MANAGEMENT PTY LTD,64 119 578 371,"1,639,229",Production-adjusted baseline,"1,241,225",0,0,0,"1,241,225",n/a,n/a, - , - , - 
YPF AMMONIA PLANT,WA,YARA PILBARA FERTILISERS PTY LTD,74 095 441 151,"1,512,283",Calculated baseline,"1,456,927",0,0,0,"1,456,927",n/a,n/a, - , - , - 
Mandalong Mine,NSW,CENTENNIAL MANDALONG PTY LIMITED,74 101 508 892,"1,443,304",Calculated baseline,"1,184,162",0,0,0,"1,184,162",n/a,n/a, - , - , - 
Kestrel Coal Pty Ltd,QLD,KESTREL COAL GROUP PTY LTD,70 624 655 518,"1,342,468",Calculated baseline,"1,178,560",0,0,0,"1,178,560",n/a,n/a, - , - , - 
Kwinana Alumina Refinery,WA,ALCOA OF AUSTRALIA LIMITED,93 004 879 298,"1,323,436",Production-adjusted baseline,"1,292,269",0,0,0,"1,292,269",n/a,n/a, - , - , - 
Kooragang Island,NSW,ORICA AUSTRALIA PTY LTD,99 004 117 828,"1,291,767",Calculated baseline,"1,029,334",0,0,0,"1,029,334",n/a,n/a, - , - , - 
CSBP Kwinana Facility,WA,CSBP LIMITED,81 008 668 371,"1,219,470",Reported baseline,"697,197",0,0,0,"697,197",n/a,n/a, - , - , - 
Railton,TAS,CEMENT AUSTRALIA (GOLIATH) PTY LIMITED,33 009 476 546,"1,118,359",Calculated baseline,"1,047,925",0,0,0,"1,047,925",n/a,n/a, - , - , - 
Narrabri Underground Mine,NSW,NARRABRI COAL OPERATIONS PTY LTD,15 129 850 139,"1,116,113",Calculated baseline,"384,304",0,0,0,"384,304",n/a,n/a, - , - , - 
Geelong Refinery,VIC,VIVA ENERGY REFINING PTY LTD,46 004 303 842,"1,106,986",Production-adjusted baseline,"912,997",0,0,0,"912,997",n/a,n/a, - , - , - 
CEM NSW Berrima,NSW,BORAL LIMITED,13 008 421 761,"1,051,888",Production-adjusted baseline,"1,019,669",0,0,0,"1,019,669",n/a,n/a, - , - , - 
Warkworth Mine,NSW,WARKWORTH MINING LTD,42 001 385 842,"1,018,733",Calculated baseline,"779,189",0,0,0,"779,189",n/a,n/a, - , - , - 
Pacific National National Transport Facility,National,PACIFIC NATIONAL PTY LTD,39 098 060 550,"967,777",Reported baseline,"912,770","6,121",0,0,"912,770",n/a,n/a, - , - ,The facility's net emissions number for 2020-21 was adjusted to include ACCUs issued in relation to an Emissions Reduction Fund project at the facility.
Birkenhead Operations,SA,ADBRI LIMITED,15 007 596 018,"944,222",Reported baseline,"772,545","10,787",0,0,"772,545",n/a,n/a, - , - ,The facility's net emissions number for 2020-21 was adjusted to include ACCUs issued in relation to an Emissions Reduction Fund project at the facility.
Boyne Smelters Limited,QLD,RIO TINTO ALUMINIUM LIMITED,51 009 679 127,"918,989",Calculated baseline,"898,887",0,0,0,"898,887",n/a,n/a, - , - , - 
Oaky Creek Coal Complex,QLD,OAKY CREEK HOLDINGS PTY LIMITED,31 128 109 062,"871,315",Calculated baseline,"778,695",0,0,0,"778,695",n/a,n/a, - , - , - 
Refinery Qld Lytton,QLD,AMPOL LIMITED,40 004 201 307,"856,595",Production-adjusted baseline,"539,067",0,0,0,"539,067",n/a,n/a, - , - , - 
Carborough Downs Coal Mine,QLD,FITZROY (CQ) PTY LTD,61 103 902 389,"850,080",Reported baseline,"708,618",0,0,0,"708,618",n/a,n/a, - , - , - 
Myuna Colliery,NSW,CENTENNIAL MYUNA PTY LIMITED,95 101 508 981,"825,052",Calculated baseline,"402,866",0,0,0,"402,866",n/a,n/a, - , - , - 
Mobil Altona Refinery,VIC,MOBIL REFINING AUSTRALIA PTY. LTD.,48 004 300 163,"811,594",Reported baseline,"678,318",0,0,0,"678,318",n/a,n/a, - , - , - 
Kwinana Refinery,WA,BP REFINERY (KWINANA) PROPRIETARY LIMITED,54 008 689 763,"739,256",Reported baseline,"413,542",0,0,0,"413,542",n/a,n/a, - , - , - 
Blackwater Mine,QLD,BM ALLIANCE COAL OPERATIONS PTY LIMITED,67 096 412 752,"733,663",Calculated baseline,"688,951",0,0,0,"688,951",n/a,n/a, - , - , - 
Integra Underground Mine,NSW,HV COKING COAL PTY LIMITED,45 605 492 804,"721,813",Calculated baseline,"553,209",0,0,0,"553,209",n/a,n/a, - , - , - 
Bulga Coal Complex,NSW,BULGA COAL MANAGEMENT PTY LIMITED,48 055 534 391,"707,250",Calculated baseline,"516,616",0,0,0,"516,616",n/a,n/a, - , - , - 
Pilbara Rail Operations,WA,PILBARA IRON PTY LTD,75 107 216 535,"666,720",Production-adjusted baseline,"656,605",0,0,0,"656,605",n/a,n/a, - , - , - 
Metropolitan Colliery,NSW,METROPOLITAN COLLIERIES PTY. LTD.,91 003 135 635,"663,700",Calculated baseline,"401,341",0,0,0,"401,341",n/a,n/a, - , - , - 
Hunter Valley Operations mine,NSW,HV OPERATIONS PTY LTD,76 606 478 399,"633,681",Calculated baseline,"563,127",0,0,0,"563,127",n/a,n/a, - , - , - 
Telfer Gold Mine,WA,NEWCREST MINING LIMITED,20 005 683 625,"626,808",Calculated baseline,"500,048",0,0,0,"500,048",n/a,n/a, - , - , - 
Murrin Murrin Operations,WA,MURRIN MURRIN OPERATIONS PTY LTD,43 076 717 505,"617,082",Calculated baseline,"486,498",0,0,0,"486,498",n/a,n/a, - , - , - 
Mount Isa Mines Copper and Zinc Operations,QLD,MOUNT ISA MINES LIMITED,87 009 661 447,"610,598",Calculated baseline,"300,397",0,0,0,"300,397",n/a,n/a, - , - , - 
Newman Power Station,WA,ALINTA ENERGY TRANSMISSION (ROY HILL) PTY LTD,81 159 279 857,"604,378",Calculated baseline,"202,430",0,0,0,"202,430",n/a,n/a, - , - , - 
Christmas Creek Mine,WA,CHICHESTER METALS PTY LTD,83 109 264 262,"596,884",Calculated baseline,"574,485",0,0,0,"574,485",n/a,n/a, - , - , - 
Hail Creek Mine,QLD,HAIL CREEK COAL PTY LTD,59 080 002 008,"587,896",Calculated baseline,"539,784",0,0,0,"539,784",n/a,n/a, - , - , - 
Peak Downs Mine,QLD,BM ALLIANCE COAL OPERATIONS PTY LIMITED,67 096 412 752,"586,447",Calculated baseline,"513,581",0,0,0,"513,581",n/a,n/a, - , - , - 
PRL03 Rail - IOR Facility,WA,BHP IRON ORE PTY LTD,46 008 700 981,"585,410",Production-adjusted baseline,"548,215",0,0,0,"548,215",n/a,n/a, - , - , - 
Toll National Transport Facility,National,TOLL HOLDINGS LIMITED,25 006 592 089,"573,297",Reported baseline,"444,449",0,0,0,"444,449",n/a,n/a, - , - , - 
Qenos Botany Manufacturing,NSW,QENOS PTY LTD,62 054 196 771,"551,253",Calculated baseline,"461,734",0,0,0,"461,734",n/a,n/a, - , - , - 
Nyrstar Port Pirie Smelter,SA,NYRSTAR PORT PIRIE PTY LTD,31 008 046 428,"547,081",Calculated baseline,"342,966",0,0,0,"342,966",n/a,n/a, - , - , - 
JGN,NSW,JEMENA GAS NETWORKS (NSW) LTD,87 003 004 322,"528,234",Reported baseline,"401,980",0,0,0,"401,980",n/a,n/a, - , - , - 
TEM01,TAS,TASMANIAN ELECTRO METALLURGICAL COMPANY PROPRIETARY LIMITED,23 004 456 035,"505,063",Reported baseline,"275,453",0,0,0,"275,453",n/a,n/a, - , - , - 
Gibson Island,QLD,INCITEC PIVOT LIMITED,42 004 080 264,"503,185",Reported baseline,"444,731",0,0,0,"444,731",n/a,n/a, - , - , - 
Ashton Coal Mine (Underground),NSW,ASHTON COAL OPERATIONS PTY LIMITED,22 078 556 500,"489,864",Calculated baseline,"411,570",0,0,0,"411,570",n/a,n/a, - , - , - 
Nowra Plant,NSW,SHOALHAVEN STARCHES PTY LTD,94 000 045 045,"477,214",Calculated baseline,"361,874",0,0,0,"361,874",n/a,n/a, - , - , - 
Varanus Hub,WA,SANTOS LIMITED,80 007 550 923,"463,700",Calculated baseline,"301,925",0,0,0,"301,925",n/a,n/a, - , - , - 
Byerwen  Mine,QLD,BYERWEN COAL PTY LTD,64 133 357 632,"456,929",Calculated baseline,"333,362",0,0,0,"333,362",n/a,n/a, - , - , - 
Newlands Coal Complex including Newlands Northern UG,QLD,NC COAL COMPANY PTY LIMITED,71 079 862 936,"454,339",Calculated baseline,"390,714",0,0,0,"390,714",n/a,n/a, - , - , - 
DEN01,NSW,DENDROBIUM COAL PTY LTD,85 098 744 088,"447,048",Reported baseline,"234,807",0,0,0,"234,807",n/a,n/a, - , - , - 
Clermont Coal Operations,QLD,CLERMONT COAL OPERATIONS PTY LIMITED,54 166 342 418,"437,255",Calculated baseline,"340,056",0,0,0,"340,056",n/a,n/a, - , - , - 
Opal Australian Paper Maryvale Mill,VIC,PAPER AUSTRALIA PTY LTD,63 061 583 533,"406,527",Reported baseline,"320,852",0,0,0,"320,852",n/a,n/a, - , - , - 
Cloudbreak Mine,WA,CHICHESTER METALS PTY LTD,83 109 264 262,"405,681",Calculated baseline,"422,427",0,0,"16,746","405,681",n/a,n/a, - , - , - 
Yarnima Power Station,WA,BHP IRON ORE PTY LTD,46 008 700 981,"402,910",Production-adjusted baseline,"343,639",0,0,0,"343,639",n/a,n/a, - , - , - 
Brockman 4 Mine,WA,HAMERSLEY IRON PTY. LIMITED,49 004 558 276,"395,901",Calculated baseline,"165,655",0,0,0,"165,655",n/a,n/a, - , - , - 
Qenos Altona Manufacturing,VIC,QENOS PTY LTD,62 054 196 771,"394,357",Production-adjusted baseline,"347,300",0,0,0,"347,300",n/a,n/a, - , - , - 
Lake Vermont Mine,QLD,THIESS PTY LTD,87 010 221 486,"394,117",Calculated baseline,"393,671",0,0,0,"393,671",n/a,n/a, - , - , - 
YAN01 Yandi/Marillana Creek Mine - MNG Facility,WA,BHP IRON ORE PTY LTD,46 008 700 981,"379,160",Production-adjusted baseline,"190,343",0,0,0,"190,343",n/a,n/a, - , - , - 
Chandala Processing Plant,WA,TRONOX MANAGEMENT PTY LTD,59 009 343 364,"374,904",Reported baseline,"206,709",0,0,0,"206,709",n/a,n/a, - , - , - 
Bell Bay Smelter,TAS,RIO TINTO ALUMINIUM (BELL BAY) LIMITED,91 009 483 201,"370,510",Calculated baseline,"355,698",0,0,0,"355,698",n/a,n/a, - , - , - 
Maules Creek Open Cut Mine,NSW,MAULES CREEK COAL PTY LTD,70 140 533 875,"367,513",Calculated baseline,"304,625",0,0,0,"304,625",n/a,n/a, - , - , - 
