Facility name,Responsible emitter,State/Territory of operation,ANZSIC,ERC,Baseline emissions number,Covered emissions,Borrowing adjustment amount,ACCUs issued,ACCUs deemed surrendered,ACCUs surrendered,SMCs surrendered,Net emissions number,Net position number,SMCs issued,Units relinquished,Cumulative MYMP net emissions number,Cumulative MYMP net position number,GHG Carbon dioxide,GHG Methane,GHG Nitrous oxide,GHG Other,Notes
Christmas Creek Mine,CHICHESTER METALS PTY LTD,WA,Metal ore mining (080),0.951,"351,986","372,251",0,0,0,0,0,"372,251","20,265",0,0,"372,251","20,265","370,600",528,"1,095",28,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Clermont Coal Operations,Clermont Coal Operations Pty Limited,QLD,Coal mining (060),0.951,"170,356","148,835",0,0,0,0,0,"148,835","-21,521","21,521",0,-,-,"148,194",207,424,10,-
Cloudbreak Mine,CHICHESTER METALS PTY LTD,WA,Metal ore mining (080),0.951,"267,459","295,132",0,0,0,"8,411","19,262","267,459",0,0,0,-,-,"293,833",419,865,15,-
Cockburn Operations,ADBRI LIMITED,WA,"Cement, lime, plaster and concrete product manufacturing (203)",0.951,"671,653","657,038",0,0,0,0,0,"657,038","-14,615","14,615",0,-,-,"656,499",396,134,9,-
Collinsville Mine,NC COAL COMPANY PTY LIMITED,QLD,Coal mining (060),0.951,"100,000","69,982",0,0,0,0,0,"69,982","-30,018","1,899",0,-,-,"66,959","2,834",187,2,The facility is an eligible facility under 58B.
Condabri Talinga Orana,ORIGIN ENERGY UPSTREAM OPERATOR PTY LTD,QLD,Oil and gas extraction (070),0.951,"367,391","263,344",0,0,0,0,0,"263,344","-104,047","104,047",0,-,-,"167,863","94,946",287,248,-
Cook Colliery,Constellation Mining Pty Ltd,QLD,Coal mining (060),0.951,"100,000","98,801",0,0,0,0,0,"98,801","-1,199",0,0,-,-,"5,079","93,714",8,0,The facility is an eligible facility under 58B.
Coppabella Coal Mine,PEABODY ENERGY AUSTRALIA PCI (C&M MANAGEMENT) PTY LTD,QLD,Coal mining (060),0.951,"219,678","235,397",0,0,0,0,"15,719","219,678",0,0,0,-,-,"116,833","118,226",333,5,-
Cowal Operations,EVOLUTION MINING (COWAL) PTY LIMITED,NSW,Metal ore mining (080),0.951,"148,711","82,450",0,0,0,0,0,"82,450","-66,261",0,0,"287,978","-60,733","82,078",118,248,6,Please refer to the Multi-year monitoring period reported emissions data table for more information.
CSBP Kwinana Facility,CSBP Limited,WA,Fertiliser and pesticide manufacturing (183),0.951,"734,581","671,716",0,0,0,0,0,"671,716","-62,865","62,865",0,-,-,"520,542",353,"150,815",6,-
CTC WA Facility,CENTURION TRANSPORT CO. PTY LTD,WA,Road freight transport (461),0.951,"115,700","112,173",0,0,0,0,0,"112,173","-3,527","3,527",0,-,-,"111,387",159,627,0,-
Curragh Mine,CORONADO AUSTRALIA HOLDINGS PTY LTD,QLD,Coal mining (060),0.951,"598,727","909,433",0,0,0,0,0,"909,433","310,706",0,0,"909,433","310,706","418,985","489,225","1,205",18,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Curtis Island GLNG Plant,GLNG OPERATIONS PTY LTD,QLD,Oil and gas extraction (070),0.951,"1,695,720","1,635,447",0,0,0,0,0,"1,635,447","-60,273","60,273",0,-,-,"1,574,689","59,751","1,006",1,-
Dandenong,OCEANIA GLASS PTY LTD,VIC,Glass and glass product manufacturing (201),0.990,"100,000","107,278",0,0,0,0,0,"107,278","7,278",0,0,-,-,"107,072",158,48,0,Please refer to the excess emissions situation table for more information.
Darwin LNG Plant,Santos Limited,NT,Oil and gas extraction (070),0.951,"100,000","241,538",0,0,0,"141,538",0,"100,000",0,0,0,-,-,"207,289","33,794",455,0,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
Daunia Mine,BM Alliance Coal Operations Pty Limited,QLD,Coal mining (060),0.951,"177,734","161,798",0,0,0,0,0,"161,798","-15,936","15,936",0,-,-,"126,582","34,848",360,8,-
Daunia Mine,WHITEHAVEN DAUNIA PTY LTD,QLD,Coal mining (060),0.951,"57,106","53,753",0,0,0,0,0,"53,753","-3,353","3,353",0,-,-,"42,051","11,570",120,12,-
Dawson Mine,ANGLO COAL (DAWSON MANAGEMENT) PTY LTD,QLD,Coal mining (060),0.951,"485,823","538,741",0,0,0,"24,056","28,862","485,823",0,0,0,-,-,"265,182","272,759",764,36,-
DBNGP,DBNGP (WA) Transmission Pty Limited,WA,Pipeline and other transport (502),0.951,"241,857","250,024",0,0,0,0,0,"250,024","8,167",0,0,"517,202","28,983","213,270","36,621",133,0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
DEN01,Dendrobium Coal Pty Ltd,NSW,Coal mining (060),0.951,"143,922","379,997",0,0,0,"40,000","196,075","143,922",0,0,0,-,-,"93,618","286,355",18,6,-
Dongara Operations,ADBRI LIMITED,WA,"Cement, lime, plaster and concrete product manufacturing (203)",0.951,"100,000","93,193",0,0,0,0,0,"93,193","-6,807","2,264",0,-,-,"93,110",62,21,0,The facility is an eligible facility under 58B.
Drake Mine,Drake Mine Management Pty Ltd,QLD,Coal mining (060),0.951,"233,185","244,064",0,0,0,"2,244","4,082","237,738","4,553",0,0,"635,647",0,"82,742","161,084",238,0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Duketon South Operations,Regis Resources Limited,WA,Metal ore mining (080),0.951,"175,908","155,772",0,0,0,0,0,"155,772","-20,136","20,136",0,-,-,"155,091",218,463,0,-
EGP,Jemena Eastern Gas Pipeline (1) Pty Ltd,NSW; VIC,Gas supply (270),0.951,"100,000","80,003",0,0,0,0,0,"80,003","-19,997",0,0,-,-,"70,262","9,700",41,0,The facility is an eligible facility under 58B.
Eliwana Mine,FMG SOLOMON PTY LTD,WA,Metal ore mining (080),0.951,"135,777","164,894",0,0,0,0,0,"164,894","29,117",0,0,"164,894","29,117","164,172",235,487,0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Ensham Coal Mine,ENSHAM RESOURCES PTY. LIMITED,QLD,Coal mining (060),0.951,"272,747","261,925",0,0,0,0,0,"261,925","-10,822","18,608","7,786",-,-,"49,185","212,596",139,5,"The responsible emitter was required to relinquish units, which they did via relinquishing 7,786 SMCs."
Fairview,Santos Limited,QLD,Oil and gas extraction (070),0.951,"289,078","214,228",0,0,0,0,0,"214,228","-74,850","74,850",0,-,-,"179,607","34,130",214,277,-
Fimiston Operations,KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD,WA,Metal ore mining (080),0.951,"136,847","229,779",0,0,0,"92,932",0,"136,847",0,0,0,-,-,"228,758",333,663,25,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
Fisherman's Landing,CEMENT AUSTRALIA (QUEENSLAND) PTY LIMITED,QLD,"Cement, lime, plaster and concrete product manufacturing (203)",0.951,"1,597,242","1,582,237",0,0,0,0,0,"1,582,237","-15,005","15,005",0,-,-,"1,580,505",294,"1,438",0,-
FLNG,SHELL AUSTRALIA PTY LTD,WA,Oil and gas extraction (070),0.951,"2,929,109","1,851,848",0,0,0,0,0,"1,851,848","-1,077,261","1,077,261",0,-,-,"1,685,154","163,960","2,717",17,-
Foxleigh Mine,FOXLEIGH MANAGEMENT PTY LTD,QLD,Coal mining (060),0.951,"215,614","265,558",0,0,0,"49,944",0,"215,614",0,0,0,-,-,"160,203","104,892",463,0,-
Geelong Refinery,Viva Energy Refining Pty Ltd,VIC,Petroleum and coal product manufacturing (170),0.990,"906,089","1,051,228",0,0,0,"145,139",0,"906,089",0,0,0,-,-,"1,039,505","8,662","1,793","1,268",-
GEM01,Groote Eylandt Mining Company Proprietary Limited,NT,Metal ore mining (080),0.951,"142,343","174,512",0,0,0,"32,169",0,"142,343",0,0,0,-,-,"173,390",93,"1,012",17,-
Gibson Island,Incitec Pivot Limited,QLD,Fertiliser and pesticide manufacturing (183),0.951,"100,000",170,0,0,0,0,0,170,"-99,830",0,0,-,-,170,0,0,0,The facility is an eligible facility under 58B.
Gippsland Basin facility,ESSO AUSTRALIA RESOURCES PTY LTD,VIC,Oil and gas extraction (070),0.951,"1,349,503","1,505,497",0,0,0,"155,994",0,"1,349,503",0,0,0,-,-,"1,385,663","117,174","2,659",1,-
Goldfields Gas Transmission Pipeline,Goldfields Gas Transmission Pty Ltd,WA,Pipeline and other transport (502),0.951,"107,870","114,123",0,0,0,"6,253",0,"107,870",0,0,0,-,-,"92,443","21,625",55,0,-
Goonyella Broadmeadow Mine,BM Alliance Coal Operations Pty Limited,QLD,Coal mining (060),0.951,"1,015,171","1,257,022",0,0,0,"241,851",0,"1,015,171",0,0,0,-,-,"498,368","757,040","1,437",177,-
Gorgon Operations,CHEVRON AUSTRALIA PTY LTD,WA,Oil and gas extraction (070),0.951,"9,191,453","8,802,650",0,0,0,0,0,"8,802,650","-388,803","388,803",0,-,-,"8,573,524","221,742","6,777",607,-
Gove Operations,RTA GOVE PTY LIMITED,NT,Basic non-ferrous metal manufacturing (213),0.951,"114,808","133,829",0,0,0,"19,021",0,"114,808",0,0,0,-,-,"133,234",191,392,12,-
Granny Smith Mine Site,GSM MINING COMPANY PTY LTD,WA,Metal ore mining (080),0.951,"111,619","113,783",0,"5,856",0,"8,020",0,"111,619",0,0,0,-,-,"113,414",206,162,1,-
Greenbushes Lithium Operation,Talison Lithium Australia Pty Ltd,WA,Metal ore mining (080),0.951,"100,000","104,303",0,0,0,"4,303",0,"100,000",0,0,0,-,-,"103,789",148,324,42,-
Grosvenor Mine,ANGLO COAL (MORANBAH NORTH MANAGEMENT) PTY LIMITED,QLD,Coal mining (060),0.951,"1,717,249","1,094,252",0,0,0,0,0,"1,094,252","-622,997","622,997",0,-,-,"217,351","875,827","1,051",23,-
Gruyere Mine Site,Gruyere Mining Company Pty Ltd,WA,Metal ore mining (080),0.951,"186,298","204,627",0,0,0,"18,329",0,"186,298",0,0,0,-,-,"203,981",358,288,0,-
Gudai-Darri Mine,Mount Bruce Mining Pty Ltd,WA,Metal ore mining (080),0.951,"604,067","129,676",0,0,0,0,0,"129,676","-474,391","474,391",0,-,-,"129,122",184,370,0,-
Hail Creek Mine,HAIL CREEK COAL PTY LTD,QLD,Coal mining (060),0.951,"1,189,092","1,381,195",0,0,0,"192,103",0,"1,189,092",0,0,0,-,-,"317,301","1,062,986",891,17,-
Hope Downs 1 Mine,Hamersley HMS Pty Ltd,WA,Metal ore mining (080),0.951,"126,313","166,842",0,0,0,"40,529",0,"126,313",0,0,0,-,-,"166,124",238,480,0,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
Hope Downs 4 Mine,Hamersley HMS Pty Ltd,WA,Metal ore mining (080),0.951,"100,000","119,586",0,0,0,"19,586",0,"100,000",0,0,0,-,-,"119,072",170,344,0,-
Hunter Valley Operations mine,HV OPERATIONS PTY LTD,NSW,Coal mining (060),0.951,"491,271","637,147",0,0,0,"60,000","85,876","491,271",0,0,0,-,-,"367,918","268,211",998,20,-
HVY01 Hunter Valley Energy Coal - CCL Facility,Hunter Valley Energy Coal Pty Ltd,NSW,Coal mining (060),0.951,"581,285","594,767",0,0,0,"13,482",0,"581,285",0,0,0,-,-,"553,414","39,762","1,584",7,-
InfraBuild Steel Laverton Steel Mill,THE AUSTRALIAN STEEL COMPANY (OPERATIONS) PTY LTD,VIC,Basic ferrous metal manufacturing (211),0.951,"112,413","113,721",0,0,0,"1,308",0,"112,413",0,0,0,-,-,"113,533",134,43,11,-
Integra Underground Mine,HV Coking Coal Pty Limited,NSW,Coal mining (060),0.951,"322,546","396,320",0,0,0,"73,774",0,"322,546",0,0,0,-,-,"8,258","388,050",7,5,-
Iron Bridge Mine,IB Operations Pty Ltd,WA,Metal ore mining (080),0.951,"100,000","104,560",0,0,0,"2,414","2,146","100,000",0,0,0,-,-,"104,081",149,315,15,-
Ironbark No. 1,FITZROY (CQ) PTY LTD,QLD,Coal mining (060),0.951,"100,000","146,173",0,0,0,"46,173",0,"100,000",0,0,0,-,-,"45,691","100,211",256,15,Please refer to the excess emissions situation table for more information.
Isaac Plains Complex,STANMORE RESOURCES LIMITED,QLD,Coal mining (060),0.951,"167,250","202,682",0,0,0,"35,432",0,"167,250",0,0,0,-,-,"91,849","110,562",271,0,-
Jax Mine,Jax Coal Pty Ltd,QLD,Coal mining (060),0.951,"137,609","133,527",0,0,0,0,0,"133,527","-4,082","4,082",0,-,-,"53,089","80,285",153,0,-
Jellinbah Mine,JELLINBAH MINING PTY LTD,QLD,Coal mining (060),0.951,"321,854","364,464",0,0,0,"42,610",0,"321,854",0,0,0,-,-,"175,104","188,855",505,0,-
JGN,Jemena Gas Networks (NSW) Ltd,NSW,Gas supply (270),0.951,"340,367","341,152",0,0,0,785,0,"340,367",0,0,0,-,-,"4,434","336,699",19,0,-
Jimblebar Mine,BHP IRON ORE PTY LTD,WA,Metal ore mining (080),0.951,"302,155","310,615",0,0,0,"8,460",0,"302,155",0,0,0,-,-,"309,270",442,903,0,-
Jundee Gold Mine,NORTHERN STAR RESOURCES LIMITED,WA,Metal ore mining (080),0.951,"133,307","144,622",0,0,0,"11,315",0,"133,307",0,0,0,-,-,"144,152",248,220,2,-
Kemerton Silicon Smelter,SIMCOA OPERATIONS PTY. LTD.,WA,Basic non-ferrous metal manufacturing (213),0.951,"100,000","95,384",0,0,0,0,0,"95,384","-4,616",0,0,-,-,"95,357",11,7,9,The facility is an eligible facility under 58B.
Kestrel Coal Pty Ltd,Kestrel Coal Group Pty Ltd,QLD,Coal mining (060),0.951,"1,035,251","1,223,730",0,0,0,"188,479",0,"1,035,251",0,0,0,-,-,"284,623","937,617","1,471",19,-
King of the Hills,GREENSTONE RESOURCES (WA) PTY LTD,WA,Metal ore mining (080),0.951,"176,726","132,475",0,0,0,0,0,"132,475","-44,251","40,725",0,-,-,"132,025",224,226,0,-
Kogan Creek Mine,GOLDING CONTRACTORS PTY LTD,QLD,Coal mining (060),0.951,"100,000","100,248",0,0,0,248,0,"100,000",0,0,0,-,-,"20,494","79,693",61,0,-
Koolyanobbing Iron Ore Operations,Yilgarn Iron Pty Ltd,WA,Metal ore mining (080),0.951,"100,000","82,036",0,0,0,0,0,"82,036","-17,964",0,0,-,-,"81,681",113,242,0,The facility is an eligible facility under 58B.
Kooragang Island,ORICA AUSTRALIA PTY LTD,NSW,Other basic chemical product manufacturing (189),0.951,"913,822","483,071",0,0,0,0,0,"483,071","-430,751","430,751",0,-,-,"462,058",383,"20,630",0,-
Kwinana Alumina Refinery,Alcoa of Australia Limited,WA,Basic non-ferrous metal manufacturing (213),0.990,"824,523","915,101",0,0,0,"52,729","37,849","824,523",0,0,0,-,-,"912,711","1,810",572,8,-
Kwinana Pigment Plant,Tronox Management Pty Ltd,WA,Basic chemical manufacturing (181),0.990,"244,804","285,673",0,0,0,0,"40,869","244,804",0,0,0,-,-,"285,130",409,134,0,-
Lake Vermont Mine,THIESS PTY LTD,QLD,Coal mining (060),0.951,"308,609","289,068",0,0,0,0,0,"289,068","-19,541","19,541",0,-,-,"223,393","65,054",618,3,-
Leinster Power Station,TEC DESERT PTY LTD,WA,Electricity generation (261),0.951,"128,716","132,927",0,0,0,"4,211",0,"128,716",0,0,0,-,-,"132,577",261,87,2,-
Liberty Bell Bay,Liberty Bell Bay Pty Ltd,TAS,Basic ferrous metal manufacturing (211),0.951,"204,887","196,125",0,0,0,0,0,"196,125","-8,762","8,762",0,-,-,"196,107",6,6,6,-
Liberty Primary Steel Whyalla Steelworks,ONESTEEL MANUFACTURING PTY LIMITED,SA,Basic ferrous metal manufacturing (211),0.990,"1,026,135","1,191,510",0,0,0,0,0,"1,191,510","165,375",0,0,-,-,"1,190,837",414,253,6,Please refer to the excess emissions situation table for more information.
Mandalong Mine,CENTENNIAL MANDALONG PTY LIMITED,NSW,Coal mining (060),0.951,"554,933","742,230",0,0,0,"32,254","155,043","554,933",0,0,0,-,-,"24,907","717,233",85,5,-
Mangoola,MANGOOLA COAL OPERATIONS PTY LIMITED,NSW,Coal mining (060),0.951,"131,234","122,216",0,0,0,0,0,"122,216","-9,018","9,018",0,-,-,"118,914","2,955",332,15,-
Marandoo Mine,Hamersley Iron Pty. Limited,WA,Metal ore mining (080),0.951,"109,985","156,177",0,0,0,"46,192",0,"109,985",0,0,0,-,-,"155,505",222,450,0,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
Maules Creek Open Cut Mine,MAULES CREEK COAL PTY LTD,NSW,Coal mining (060),0.951,"275,001","286,028",0,0,0,"11,027",0,"275,001",0,0,0,-,-,"283,525","1,710",789,4,-
McArthur River Mine Operations,MCARTHUR RIVER MINING PTY. LTD.,NT,Metal ore mining (080),0.951,"100,000","101,914",0,0,0,"5,604",0,"96,310","-3,690",0,0,"208,064",0,"101,478",145,291,0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
McArthur River Power Station,EDL NGD (NT) Pty Ltd,NT,Electricity generation (261),0.951,"138,562","153,074",0,0,0,"14,512",0,"138,562",0,0,0,-,-,"152,685",297,92,0,-
Mesa A Mine,Robe River Mining Co. Pty. Ltd.,WA,Metal ore mining (080),0.951,"100,000","60,255",0,0,0,0,0,"60,255","-39,745",0,0,-,-,"59,993",86,176,0,The facility is an eligible facility under 58B.
Mesa J / K Mine,Robe River Mining Co. Pty. Ltd.,WA,Metal ore mining (080),0.951,"104,837","65,868",0,0,0,0,0,"65,868","-38,969",0,0,-,-,"65,581",94,193,0,The facility is an eligible facility under 58B.
Metropolitan Colliery,METROPOLITAN COLLIERIES PTY. LTD.,NSW,Coal mining (060),0.951,"587,906","696,752",0,0,0,"108,846",0,"587,906",0,0,0,-,-,"142,132","554,603",10,7,-
Middlemount Coal Mine,Middlemount Coal Pty Ltd,QLD,Coal mining (060),0.951,"232,430","267,919",0,0,0,"35,489",0,"232,430",0,0,0,-,-,"150,855","116,631",431,2,-
Millicent Mill,Kimberly-Clark Australia Pty. Limited,SA,Converted paper product manufacturing (152),0.951,"100,000","100,534",0,0,0,534,0,"100,000",0,0,0,-,-,"100,279",195,60,0,-
Mobil Altona Refinery,MOBIL OIL AUSTRALIA PTY LTD,VIC,Petroleum and coal product manufacturing (170),0.951,"100,000",344,0,0,0,0,0,344,"-99,656",0,0,"111,270","-188,730",335,0,2,7,Please refer to the Multi-year monitoring period reported emissions data table for more information.
