facility_id,canonical_name,latest_year_present,responsible_emitter,anzsic,state,years_present,n_years,min_match_confidence,needs_review,latitude,longitude,geocode_confidence,name_2024-25,name_2023-24,name_2022-23,name_2021-22,name_2020-21,geocode_matched_place
F0009,Ashton Coal Mine (Underground),2024-25,ASHTON COAL OPERATIONS PTY LIMITED,Coal mining (060),NSW,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-32.46892251,151.0783896,not found,Ashton Coal Mine (Underground),Ashton Coal Mine (Underground),Ashton Coal Mine (Underground),Ashton Coal Mine (Underground),Ashton Coal Mine (Underground),
F0010,Aurizon National Transport Facility,2024-25,AURIZON OPERATIONS LIMITED,Rail freight transport (471),National,"2024-25,2023-24,2022-23",3,100.0,False,-27.4541664799022,153.038558618972,not found,Aurizon National Transport Facility,Aurizon National Transport Facility,Aurizon National Transport Facility,,,
F0265,Aurizon Rail Freight NSW,2021-22,AURIZON OPERATIONS LIMITED,,NSW,"2021-22,2020-21",2,100.0,False,,,not found,,,,Aurizon Rail Freight NSW,Aurizon Rail Freight NSW,
F0266,Aurizon Rail Freight QLD,2021-22,AURIZON OPERATIONS LIMITED,,QLD,"2021-22,2020-21",2,100.0,False,,,not found,,,,Aurizon Rail Freight QLD,Aurizon Rail Freight QLD,
F0267,Aurizon Rail Freight WA,2021-22,AURIZON OPERATIONS LIMITED,,WA,"2021-22,2020-21",2,100.0,False,,,not found,,,,Aurizon Rail Freight WA,Aurizon Rail Freight WA,
F0011,AusNet Gas Services Pty Ltd,2024-25,AusNet Services Holdings Pty Ltd,Gas supply (270),VIC,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-37.82206192,144.9629601,not found,AusNet Gas Services Pty Ltd,AusNet Gas Services Pty Ltd,AusNet Gas Services Pty Ltd,AusNet Gas Services Pty Ltd,AusNet Gas Services Pty Ltd,
F0268,Australian Gas Networks (SA) Ltd,2021-22,Australian Gas Networks Limited,,SA,"2021-22,2020-21",2,100.0,False,,,not found,,,,Australian Gas Networks (SA) Ltd,Australian Gas Networks (SA) Ltd,
F0012,Australian Gas Networks (Vic) Pty Ltd,2024-25,Australian Gas Networks Holding Pty Ltd,Gas supply (270),VIC,"2024-25,2023-24,2022-23,2021-22,2020-21",5,95.0,True,,,not found,Australian Gas Networks (Vic) Pty Ltd,Australian Gas Networks (Vic) Pty Ltd,Australian Gas Networks (Vic) Pty Ltd,Australian Gas Networks (Vic) Pty Ltd,Australian Gas Networks (Vic) Pty Ltd,
F0013,Ballera,2024-25,Santos Limited,Oil and gas extraction (070),QLD,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-27.4012301,141.8125148,possible,Ballera,Ballera,Ballera,Ballera,Ballera,"Ballera Airport, Durham Downs Road, Durham, Queensland, 4492, Australia"
F0014,Baralaba Coal Mine,2024-25,BARALABA COAL COMPANY PTY LTD ,Coal mining (060),QLD,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-24.11232891,149.8001131,not found,Baralaba Coal Mine,Baralaba Coal Mine,Baralaba Coal Mine,Baralaba Coal Mine,Baralaba Coal Mine,
F0015,Batchfire Resources No.1,2024-25,BATCHFIRE RESOURCES PTY LTD,Coal mining (060),QLD,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-24.32667888,150.6171634,not found,Batchfire Resources No.1,Batchfire Resources No.1,Batchfire Resources No.1,Batchfire Resources No.1,Batchfire Resources No.1,
F0016,Beaudesert Plant - A J Bush & Sons (Mfrs) P/L,2024-25,A.J. Bush & Sons (Manufactures) Pty Ltd,Meat and meat product manufacturing (111),QLD,2024-25,1,100.0,False,-27.99538539,152.9248366,not found,Beaudesert Plant - A J Bush & Sons (Mfrs) P/L,,,,,
F0017,Beharra Springs,2024-25,BEACH ENERGY LIMITED,Oil and gas extraction (070),WA,"2024-25,2023-24,2022-23",3,93.86792452830188,True,-29.4626921,115.1400568,likely,Beharra Springs,Beharra Springs,Beharra Springs,,,"Beharra Springs Gas Processing Facility, Arrowsmith, Western Australia, 6525, Australia"
F0018,Bell Bay Smelter,2024-25,RIO TINTO ALUMINIUM (BELL BAY) LIMITED,Basic non-ferrous metal manufacturing (213),TAS,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-41.12863347,146.8681195,not found,Bell Bay Smelter,Bell Bay Smelter,Bell Bay Smelter,Bell Bay Smelter,Bell Bay Smelter,
F0019,Bengalla Operations,2024-25,Bengalla Mining Company Pty Limited,Coal mining (060),NSW,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-32.28762207,150.8126655,not found,Bengalla Operations,Bengalla Operations,Bengalla Operations,Bengalla Operations,Bengalla Operations,
F0020,Birkenhead Operations,2024-25,ADBRI LIMITED,"Cement, lime, plaster and concrete product manufacturing (203)",SA,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-34.83477583,138.5041597,not found,Birkenhead Operations,Birkenhead Operations,Birkenhead Operations,Birkenhead Operations,Birkenhead Operations,
F0021,Blackwater Coal Mine,2024-25,WHITEHAVEN BLACKWATER PTY LTD,Coal mining (060),QLD,"2020-21,2021-22,2022-23,2023-24,2024-25",5,100.0,False,-23.73324634,148.7952643,not found,Blackwater Coal Mine,Blackwater Mine,Blackwater Mine,Blackwater Mine,Blackwater Mine,
F0022,Blair Athol Operations,2024-25,ORION MINING PTY LTD,Coal mining (060),QLD,2024-25,1,100.0,False,-22.69071851,147.5108258,not found,Blair Athol Operations,,,,,
F0023,Boggabri Coal Minesite,2024-25,BOGGABRI COAL PTY LIMITED,Coal mining (060),NSW,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-30.62941721,150.1448109,not found,Boggabri Coal Minesite,Boggabri Coal Minesite,Boggabri Coal Minesite,Boggabri Coal Minesite,Boggabri Coal Minesite,
F0024,Boyne Smelters Limited,2024-25,RIO TINTO ALUMINIUM LIMITED,Basic non-ferrous metal manufacturing (213),QLD,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-23.92507925,151.3405038,not found,Boyne Smelters Limited,Boyne Smelters Limited,Boyne Smelters Limited,Boyne Smelters Limited,Boyne Smelters Limited,
F0025,Brockman 2 / Nammuldi Mines,2024-25,Hamersley Iron Pty. Limited,Metal ore mining (080),WA,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-22.4181196,117.3608782,not found,Brockman 2 / Nammuldi Mines,Brockman 2 / Nammuldi Mines,Brockman 2 / Nammuldi Mines,Brockman 2 / Nammuldi Mines,Brockman 2 / Nammuldi Mines,
F0026,Brockman 4 Mine,2024-25,Hamersley Iron Pty. Limited,Metal ore mining (080),WA,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-22.6134427,117.1738322,likely,Brockman 4 Mine,Brockman 4 Mine,Brockman 4 Mine,Brockman 4 Mine,Brockman 4 Mine,"Brockman 4 Mine, Nanutarra, Western Australia, 6751, Australia"
F0027,Bulga Coal Complex,2024-25,BULGA COAL MANAGEMENT PTY LIMITED,Coal mining (060),NSW,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-32.67758377,151.0926973,not found,Bulga Coal Complex,Bulga Coal Complex,Bulga Coal Complex,Bulga Coal Complex,Bulga Coal Complex,
F0028,Burton Complex,2024-25,BOWEN COKING COAL LIMITED,Coal mining (060),QLD,"2024-25,2023-24",2,100.0,False,-21.62101854,148.188646,not found,Burton Complex,Burton Complex,,,,
F0029,Byerwen Mine,2024-25,BYERWEN COAL PTY LTD,Coal mining (060),QLD,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-21.3335429,147.8408615,possible,Byerwen Mine,Byerwen Mine,Byerwen Mine,Byerwen  Mine,Byerwen  Mine,"Byerwen, (Mine Haulage Road), Suttor Creek Mine, Suttor, Queensland, 4743, Australia"
F0030,CAN01,2024-25,South32 Cannington Proprietary Limited,Metal ore mining (080),QLD,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-21.85569466,140.9069917,not found,CAN01,CAN01,CAN01,CAN01,CAN01,
F0036,CEM NSW Berrima Maldon,2024-25,Boral Limited,"Cement, lime, plaster and concrete product manufacturing (203)",NSW,"2024-25,2023-24,2022-23,2021-22,2020-21",5,96.25,True,-34.50714911,150.3386072,not found,CEM NSW Berrima Maldon,CEM NSW Berrima Maldon,CEM NSW Berrima,CEM NSW Berrima,CEM NSW Berrima,
F0047,CSBP Kwinana Facility,2024-25,CSBP Limited,Fertiliser and pesticide manufacturing (183),WA,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-32.24090199,115.7658162,not found,CSBP Kwinana Facility,CSBP Kwinana Facility,CSBP Kwinana Facility,CSBP Kwinana Facility,CSBP Kwinana Facility,
F0048,CTC WA Facility,2024-25,CENTURION TRANSPORT CO. PTY LTD,Road freight transport (461),WA,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-31.92166688,116.0016368,not found,CTC WA Facility,CTC WA Facility,CTC WA Facility,CTC WA Facility,CTC WA Facility,
F0031,Capcoal Mine,2024-25,ANGLO COAL (CAPCOAL MANAGEMENT) PTY LIMITED,Coal mining (060),QLD,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-22.92917742,148.5502155,not found,Capcoal Mine,Capcoal Mine,Capcoal Mine,Capcoal Mine,Capcoal Mine,
F0032,Carborough Downs Coal Mine,2024-25,FITZROY (CQ) PTY LTD,Coal mining (060),QLD,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-21.99380933,148.2500349,not found,Carborough Downs Coal Mine,Carborough Downs Coal Mine,Carborough Downs Coal Mine,Carborough Downs Coal Mine,Carborough Downs Coal Mine,
F0033,Carmichael Coal Mine,2024-25,Adani Mining Pty Ltd,Coal mining (060),QLD,"2024-25,2023-24,2022-23,2021-22",4,100.0,False,-22.130175,146.4517775,likely,Carmichael Coal Mine,Carmichael Coal Mine,Carmichael Coal Mine,Carmichael Coal Mine,,"Carmichael Coal Mine, Belyando, Queensland, 4721, Australia"
F0034,Carosue Dam Operations,2024-25,NORTHERN STAR (CAROSUE DAM) PTY LTD,Metal ore mining (080),WA,"2024-25,2023-24,2022-23,2021-22,2020-21",5,92.5,True,-30.15354404,122.3509257,not found,Carosue Dam Operations,Carosue Dam Operations,Carosue Dam Operations,Carosue Dam Operations,Carosue Dam,
F0035,Caval Ridge Mine,2024-25,BM Alliance Coal Operations Pty Limited,Coal mining (060),QLD,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-22.1591252,148.071542,likely,Caval Ridge Mine,Caval Ridge Mine,Caval Ridge Mine,Caval Ridge Mine,Caval Ridge Mine,"Caval Ridge Mine, Moranbah, Queensland, Australia"
F0037,Centurion Coal Mine,2024-25,Centurion Coal Mining Pty Ltd,Coal mining (060),QLD,"2020-21,2021-22,2022-23,2023-24,2024-25",5,100.0,False,-21.66132102,147.95727,not found,Centurion Coal Mine,Centurion Coal Mine,North Goonyella Coal Mine,North Goonyella Coal Mine,North Goonyella Coal Mine,
F0231,Chain Valley Colliery,2023-24,Delta Electricity Pty Ltd,Coal mining (060),NSW,2023-24,1,100.0,False,-33.1636988,151.5500495,likely,,Chain Valley Colliery,,,,"Chain Valley Colliery, Mannering Park, New South Wales, Australia"
F0038,Chandala Processing Plant,2024-25,Tronox Management Pty Ltd,Basic chemical manufacturing (181),WA,"2020-21,2021-22,2022-23,2023-24,2024-25",5,100.0,False,-31.5314292,115.9643415,not found,Chandala Processing Plant,Chandala Processing Plant,Chandala Processing Plant,Chandala Processing Plant,Chandala Processing Plant,
F0039,Christmas Creek Mine,2024-25,CHICHESTER METALS PTY LTD,Metal ore mining (080),WA,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-22.40149315,119.7284027,not found,Christmas Creek Mine,Christmas Creek Mine,Christmas Creek Mine,Christmas Creek Mine,Christmas Creek Mine,
F0040,Clermont Coal Operations,2024-25,Clermont Coal Operations Pty Limited,Coal mining (060),QLD,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-22.72613639,147.6231693,not found,Clermont Coal Operations,Clermont Coal Operations,Clermont Coal Operations,Clermont Coal Operations,Clermont Coal Operations,
F0041,Cloudbreak Mine,2024-25,CHICHESTER METALS PTY LTD,Metal ore mining (080),WA,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-22.3132316,119.3469379,likely,Cloudbreak Mine,Cloudbreak Mine,Cloudbreak Mine,Cloudbreak Mine,Cloudbreak Mine,"Cloudbreak Iron Ore Mine, Mulga Downs, Western Australia, 6751, Australia"
F0042,Cockburn Operations,2024-25,ADBRI LIMITED,"Cement, lime, plaster and concrete product manufacturing (203)",WA,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-32.20970318,115.7760729,not found,Cockburn Operations,Cockburn Operations,Cockburn Operations,Cockburn Operations,Cockburn Operations,
F0043,Collinsvile Mine,2024-25,NC COAL COMPANY PTY LIMITED,Coal mining (060),QLD,"2024-25,2023-24,2022-23,2021-22,2020-21",5,97.72727272727272,False,-20.55771709,147.802957,not found,Collinsvile Mine,Collinsville Mine,Collinsville Mine,Collinsville Mine,Collinsville Mine,
F0044,Condabri Talinga Orana,2024-25,ORIGIN ENERGY UPSTREAM OPERATOR PTY LTD,Oil and gas extraction (070),QLD,"2024-25,2023-24,2022-23,2021-22,2020-21",5,92.5,True,-26.93234165,150.2242201,not found,Condabri Talinga Orana,Condabri Talinga Orana,Condabri Talinga Orana,Talinga,Talinga,
F0045,Cook Colliery,2024-25,Constellation Mining Pty Ltd,Coal mining (060),QLD,"2024-25,2023-24",2,100.0,False,-23.82655592,148.8895878,not found,Cook Colliery,Cook Colliery,,,,
F0046,Coppabella Coal Mine,2024-25,PEABODY ENERGY AUSTRALIA PCI (C&M MANAGEMENT) PTY LTD,Coal mining (060),QLD,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-21.85664846,148.4629005,not found,Coppabella Coal Mine,Coppabella Coal Mine,Coppabella Coal Mine,Coppabella Coal Mine,Coppabella Coal Mine,
F0232,Cowal Operations,2023-24,EVOLUTION MINING (COWAL) PTY LIMITED,Metal ore mining (080),NSW,"2023-24,2022-23,2021-22",3,100.0,False,-33.64161281,147.3955607,not found,,Cowal Operations,Cowal Operations,Cowal Operations,,
F0049,Curragh Mine,2024-25,CORONADO AUSTRALIA HOLDINGS PTY LTD,Coal mining (060),QLD,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-23.4731376,148.8802936,likely,Curragh Mine,Curragh Mine,Curragh Mine,Curragh Mine,Curragh Mine,"Curragh Mine, Blackwater, Queensland, 4717, Australia"
F0050,Curtis Island GLNG Plant,2024-25,GLNG OPERATIONS PTY LTD,Oil and gas extraction (070),QLD,"2020-21,2021-22,2022-23,2023-24,2024-25",5,100.0,False,-23.77610444,151.2124208,not found,Curtis Island GLNG Plant,Curtis Island GLNG Plant,Curtis Island GLNG Plant,Curtis Island GLNG Plant,Curtis Island GLNG Plant,
F0054,Dambier Bunbury Pipeline,2024-25,DBNGP (WA) Transmission Pty Limited,Pipeline and other transport (502),WA,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-32.2248356690435,115.77952391177,not found,DBNGP,DBNGP,DBNGP,DBNGP,DBNGP,
F0055,Dendrobium Coal Mine,2024-25,Dendrobium Coal Pty Ltd,Coal mining (060),NSW,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-34.4320797764627,150.809749983021,not found,DEN01,DEN01,DEN01,DEN01,DEN01,
F0284,Daandine Operations,2020-21,ARROW (DAANDINE) PTY. LTD.,,QLD,2020-21,1,100.0,False,-27.0810431420434,150.924843669756,not found,,,,,Daandine Operations,
F0233,Dandenong,2023-24,OCEANIA GLASS PTY LTD,Glass and glass product manufacturing (201),VIC,"2023-24,2022-23,2021-22,2020-21",4,100.0,False,-37.990119,145.2098421,possible,,Dandenong,Dandenong,Dandenong,Dandenong,"Dandenong, Station Street, Dandenong, Melbourne, Victoria, 3175, Australia"
F0051,Darwin LNG Plant,2024-25,Santos Limited,Oil and gas extraction (070),NT,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-12.5216577,130.8654617,low,Darwin LNG Plant,Darwin LNG Plant,Darwin LNG Plant,Darwin LNG Plant,Darwin LNG Plant,"Santos Darwin LNG Power Plant, Wickham, Darwin, Northern Territory, Australia"
F0052,Daunia Coal Mine,2024-25,WHITEHAVEN DAUNIA PTY LTD,Coal mining (060),QLD,"2020-21,2021-22,2022-23,2023-24,2024-25",5,100.0,False,-22.0798815,148.2991592,not found,Daunia Coal Mine,Daunia Mine,Daunia Mine,Daunia Mine,Daunia Mine,
F0053,Dawson Mine,2024-25,ANGLO COAL (DAWSON MANAGEMENT) PTY LTD,Coal mining (060),QLD,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-24.5396121,150.0505168,likely,Dawson Mine,Dawson Mine,Dawson Mine,Dawson Mine,Dawson Mine,"Dawson Mine, Kianga, Queensland, 4718, Australia"
F0056,Dongara Operations,2024-25,ADBRI LIMITED,"Cement, lime, plaster and concrete product manufacturing (203)",WA,"2024-25,2023-24,2021-22,2020-21",4,100.0,False,-29.2512112653287,114.946761113275,not found,Dongara Operations,Dongara Operations,,Dongara Operations,Dongara Operations,
F0057,Drake Mine,2024-25,Drake Mine Management Pty Ltd,Coal mining (060),QLD,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-20.6978895674882,147.838070051924,not found,Drake Mine,Drake Mine,Drake Mine,Drake Mine,Drake Mine,
F0058,Duketon South Operations,2024-25,Regis Resources Limited,Metal ore mining (080),WA,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-27.8995112741972,122.360163824519,not found,Duketon South Operations,Duketon South Operations,Duketon South Operations,Duketon South Operations,Duketon South Operations,
F0235,Eastern Gas Pipeline,2023-24,Jemena Eastern Gas Pipeline (1) Pty Ltd,Gas supply (270),NSW; VIC,"2023-24,2021-22",2,100.0,False,-38.1697547575955,147.085587618447,not found,,EGP,,EGP,,
F0059,Eliwana Mine,2024-25,FMG SOLOMON PTY LTD,Metal ore mining (080),WA,"2024-25,2023-24,2022-23,2021-22",4,100.0,False,-22.4104208,117.1252017,possible,Eliwana Mine,Eliwana Mine,Eliwana Mine,Eliwana Mine,,"Eliwana Mine Access Road, Mount Sheila, Western Australia, 6751, Australia"
F0060,Ensham Coal Mine,2024-25,ENSHAM RESOURCES PTY. LIMITED,Coal mining (060),QLD,"2020-21,2021-22,2022-23,2023-24,2024-25",5,100.0,False,-23.4685984241877,148.500614509631,not found,Ensham Coal Mine,Ensham Coal Mine,Ensham Resources Minesite,Ensham Resources Minesite,Ensham Resources Minesite,
F0065,FLNG,2024-25,SHELL AUSTRALIA PTY LTD,Oil and gas extraction (070),WA,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-13.1496144752145,122.979146543247,not found,FLNG,FLNG,FLNG,FLNG,FLNG,
F0061,Fairview,2024-25,Santos Limited,Oil and gas extraction (070),QLD,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-23.6420191,149.2982352,possible,Fairview,Fairview,Fairview,Fairview,Fairview,"Fairview, Dingo, Queensland, 4702, Australia"
F0062,Fimiston Operations,2024-25,KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD,Metal ore mining (080),WA,"2024-25,2023-24,2022-23,2021-22,2020-21",5,92.5,True,-30.7770586373253,121.505393252238,not found,Fimiston Operations,Fimiston Operations,Fimiston Operations,Fimiston Operations,Fimiston,
F0063,Fisherman's Landing - Clinker & Cement,2024-25,CEMENT AUSTRALIA (QUEENSLAND) PTY LIMITED,"Cement, lime, plaster and concrete product manufacturing (203)",QLD,2024-25,1,100.0,False,-23.8031151593439,151.149286194,not found,Fisherman's Landing - Clinker & Cement,,,,,
F0064,Fisherman's Landing - Lime,2024-25,CEMENT AUSTRALIA (QUEENSLAND) PTY LIMITED,"Cement, lime, plaster and concrete product manufacturing (203)",QLD,"2024-25,2023-24,2022-23,2021-22,2020-21",5,96.25,True,-23.7935609363989,151.149078555793,not found,Fisherman's Landing - Lime,Fisherman's Landing,Fisherman's Landing,Fisherman's Landing,Fisherman's Landing,
F0066,Foxleigh Mine,2024-25,FOXLEIGH MANAGEMENT PTY LTD,Coal mining (060),QLD,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-22.9477068,148.7787262,likely,Foxleigh Mine,Foxleigh Mine,Foxleigh Mine,Foxleigh Mine,Foxleigh Mine,"Foxleigh Mine, Mackenzie River, Queensland, 4705, Australia"
F0068,GEMCO Mine,2024-25,Groote Eylandt Mining Company Proprietary Limited,Metal ore mining (080),NT,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-13.9753435438949,136.443195684408,not found,GEM01,GEM01,GEM01,GEM01,GEM01,
F0067,Geelong Refinery,2024-25,Viva Energy Refining Pty Ltd,Petroleum and coal product manufacturing (170),VIC,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-38.0768725,144.3824223,likely,Geelong Refinery,Geelong Refinery,Geelong Refinery,Geelong Refinery,Geelong Refinery,"Viva Energy Geelong Refinery, Corio, Geelong, Victoria, Australia"
F0236,Gibson Island,2023-24,Incitec Pivot Limited,Fertiliser and pesticide manufacturing (183),QLD,"2020-21,2021-22,2022-23,2023-24,2024-25",5,100.0,False,-27.4365655,153.1229994,possible,Gibson Island,Gibson Island,Gibson Island,Gibson Island,Gibson Island,"Gibson Island, Gibson Island Green Hydrogen Facility, Murarrie, Brisbane, Queensland, 4172, Australia"
F0070,Gippsland Basin facility,2024-25,ESSO AUSTRALIA RESOURCES PTY LTD,Oil and gas extraction (070),VIC,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-38.6008564559048,147.810703625111,not found,Gippsland Basin facility,Gippsland Basin facility,Gippsland Basin facility,Gippsland Basin facility,Gippsland Basin facility,
F0071,Goldfields Gas Transmission Pipeline,2024-25,Goldfields Gas Transmission Pty Ltd,Pipeline and other transport (502),WA,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-26.374808,120.247073,not found,Goldfields Gas Transmission Pipeline,Goldfields Gas Transmission Pipeline,Goldfields Gas Transmission Pipeline,Goldfields Gas Transmission Pipeline,Goldfields Gas Transmission Pipeline,
F0072,Goonyella Broadmeadow Mine,2024-25,BM Alliance Coal Operations Pty Limited,Coal mining (060),QLD,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-21.8280647223279,147.980376869478,not found,Goonyella Broadmeadow Mine,Goonyella Broadmeadow Mine,Goonyella Broadmeadow Mine,Goonyella Broadmeadow Mine,Goonyella Broadmeadow Mine,
F0073,Gorgon Operations,2024-25,CHEVRON AUSTRALIA PTY LTD,Oil and gas extraction (070),WA,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-20.7896933728664,115.450782641111,not found,Gorgon Operations,Gorgon Operations,Gorgon Operations,Gorgon Operations,Gorgon Operations,
F0074,Gove Operations,2024-25,RTA GOVE PTY LIMITED,Basic non-ferrous metal manufacturing (213),NT,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-12.191173190079,136.687636110032,not found,Gove Operations,Gove Operations,Gove Operations,Gove Operations,Gove Operations,
F0075,Granny Smith Mine Site,2024-25,GSM MINING COMPANY PTY LTD,Metal ore mining (080),WA,"2024-25,2023-24,2022-23,2021-22,2020-21",5,100.0,False,-28.8087701401654,122.412405922642,not found,Granny Smith Mine Site,Granny Smith Mine Site,Granny Smith Mine Site,Granny Smith Mine Site,Granny Smith Mine Site,
F0076,Greenbushes Lithium Operation,2024-25,Talison Lithium Australia Pty Ltd,Metal ore mining (080),WA,"2024-25,2023-24",2,100.0,False,-33.8557633959596,116.05523731796,not found,Greenbushes Lithium Operation,Greenbushes Lithium Operation,,,,
F0077,Grosvenor Mine,2024-25,ANGLO COAL (MORANBAH NORTH MANAGEMENT) PTY LIMITED,Coal mining (060),QLD,"2020-21,2021-22,2022-23,2023-24,2024-25",5,100.0,False,-21.9544574,147.9995138,likely,Grosvenor Mine,Grosvenor Mine,Grosvenor Mine,Grosvenor Mine,Grosvenor Mine,"Grosvenor Coal Mine (Underground), Moranbah, Queensland, Australia"
